Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 22:25:00 2023,6400904,856840,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:30:00 2023,39696200,1423384,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:35:00 2023,10739968,1825128,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:40:00 2023,30925096,3019224,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:45:00 2023,35245000,5054840,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:50:00 2023,36133584,10411024,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:55:00 2023,5781848,2133288,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:00:00 2023,26620032,3740520,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:05:00 2023,5656840,9028544,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:10:00 2023,124713088,11993232,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:15:00 2023,64727976,4865720,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:20:00 2023,8969152,16267240,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:25:00 2023,189307368,8357576,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:30:00 2023,6067120,2221000,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:35:00 2023,36811976,4398952,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:40:00 2023,242238072,4970256,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:45:00 2023,450044936,5392312,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:50:00 2023,621595264,1878792,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 23:55:00 2023,31227504,2134664,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:00:00 2023,20857152,3850256,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:05:00 2023,5980640,9552416,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:10:00 2023,433848336,7449512,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:15:00 2023,7411272,2558072,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:20:00 2023,6761984,1617552,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:25:00 2023,6461952,1286368,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:30:00 2023,12443384,503160,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:35:00 2023,188440760,2353232,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:40:00 2023,272831064,2400648,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:45:00 2023,1303939344,43864,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:50:00 2023,650268640,1989408,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 00:55:00 2023,22195176,991600,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 01:00:00 2023,37532336,62968,15075000000,15075000000,15000000000,15075000000
Sat Jul 15 01:05:00 2023,46264112,2451864,15075000000,15075000000,15000000000,15075000000
