Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 17:45:00 2023,246616,574712,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:50:00 2023,279272,574464,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:55:00 2023,244568,557992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:00:00 2023,391784,1112144,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:05:00 2023,26661264,30901592,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:10:00 2023,22658352,570144,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:15:00 2023,462136,32107464,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:20:00 2023,230712,551792,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:25:00 2023,230896,543296,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:30:00 2023,457712,33057960,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:35:00 2023,234136,536944,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:40:00 2023,232896,554784,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:45:00 2023,232800,548424,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:50:00 2023,236264,553240,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:55:00 2023,6393648,651504,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:00:00 2023,226648,544784,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:05:00 2023,31678472,30522216,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:10:00 2023,32725768,128975808,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:15:00 2023,231832,551576,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:20:00 2023,32678480,1131088,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:25:00 2023,231696,562464,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:30:00 2023,231064,555048,20100000000,20100000000,20000000000,20100000000
